question_id,skill,cefr_level,question_text,audio_url,passage,choice_a,choice_b,choice_c,choice_d,correct_choice,band_low,band_high,band_range
195008,grammar,C2,It was the collapse of the dotcom boom that finally did _______ him.,,,out,for,off,with,B,0.1,0.25,0.10-0.25
195009,reading,A1,When does the sewing circle meet?,,"Handicraft Circle

The sewing circle meets in the Blue Room on Mondays and Thursdays from 10am to 12pm.
Bring along your needlework projects.  Our friendly group can give you tuition and advice on sewing or knitting.",On weekdays from 2pm to 4pm,Every weekend morning,Mondays and Thursdays from 10am to 12pm,,C,0.85,0.95,0.85-0.95
195010,reading,A2,Why did Mr Bowler write this email to Miss Baxter?,,"Dear Miss Baxter,
Congratulations! Your drawing of a dog has come second in the village art competition. Please come to the town hall on Saturday 6th October to collect your 10 prize.
Mr Bowler",To tell her that a drawing is ready to collect.,To invite her to enter an art competition.,To tell her that she has won some money.,,C,0.7,0.85,0.70-0.85
195011,grammar,B1,I’m not __________ my brother.,,,as hard-working as,more hard-working as,hard-working as,,A,0.55,0.7,0.55-0.70
195012,reading,A1,Who can join the choir?,,"Calling all Gentlemen!
The Lockwood Male Voice Choir rehearses in the main hall on Mondays from 7.30-9.30 pm.
If you love to sing, are over the age of 16 and have an ear for music, please call Ben Freeman for information.",Anyone under 16,Only women,Men over 16 who like music,,C,0.85,0.95,0.85-0.95
195013,reading,A2,Which day will be coldest?,,"Mountain Area forecast
Mountains can be dangerous places. The weather can change from one hour to the next, and from one peak to the next. Always check the weather forecast before you go out.  

Brecon Beacons National Park
Tuesday 4 April
There will be mist and fog in the valleys early on, but this will lift in the morning. It will be a dry day with some sunny spells, especially in the north, where it will feel warm. It will remain cloudy in the south and west. Cloud will get thicker in the afternoon, and there will be a chance of rain in the west in the late afternoon.

Visibility
Generally good, but poor in hill fog.  May turn poor in the west in the late afternoon.

Hill fog
Some hill fog above 300 metres at first. This will lift, but will remain at 600 metres in the morning, and around the peaks in the afternoon and evening.

Wed 5 April
Weather
A much windier day, and it will feel cold high up, where temperatures will be low. A bright start, with some sunshine and showers, but showers will increase in the afternoon, and there may be some hail and thunder. Snow showers possible above 800m.

Visibility
Generally good, but moderate in showers.

Hill fog
None expected.

Outlook
Thu 6 April
Very windy with gales possible in the north and north east. Cloudy with rain or drizzle and hill fog. Some bright spells later, but showers continuing through the afternoon.

Fri 7 April
Overcast at first with areas of hill fog, and also occasional light rain or drizzle. It will gradually become drier and warmer, but will remain cloudy. Light southeasterly breezes.

Sat 8 April
A bright day, with the best of the sunshine in the east. It will probably turn cloudier with a gentle southeasterly breeze, but should remain warm and dry.",4th April,5th April,6th April,,B,0.7,0.85,0.70-0.85
195014,grammar,C1,…and that a Chinese edition ___ be viable.,,,shall,must,will,would,C,0.25,0.4,0.25-0.40
195015,reading,C2,The writer believes that Watson’s work was ultimately...,,"You are going to read four extracts which are all concerned in some way with the human mind. For each question, choose the answer which you think fits best according to the text.
Where do emotions come from?

For many centuries, the question of how our minds work was left to theologians and philosophers. But at the beginning of the twentieth century, a new science, experimental psychology emerged, in which the speculative theories of the past were confirmed or disproved by the scientific method. At the forefront of this research was J B Watson. His area of interest was the origin of human emotions. Do we learn them, or do we have them when we are born? In particular, Watson wanted to study fear, and was prepared to go to whatever lengths to study his theory.

Watson’s subject was a 9 month old infant, Albert. During the experiment, Watson presented the child with things which are often considered frightening – a rat, fire, a clown mask. At first, Albert was unafraid of these things. But then Watson tormented the child with loud, unexpected noises as he was playing with them. Sure enough, Albert learnt to associate these things with the unpleasant experience. Even when the noises were stopped, Albert withdrew his body and puckered his face when presented once more with the rat and mask.

Such abusive and disturbing experiments would never be permitted nowadays. The film which Watson made of the experiment makes discomforting viewing, as the child is interminably and cold-heartedly tortured by the items which he has been taught to fear. Nonetheless, this was a landmark work with profound influence. Through it, Watson confirmed that humans learn fear by association, and as a result they can ‘un-learn’ it, a discovery that still impact s the work of behavioural therapists today.",unwarranted,significant,irrational,trivial,B,0.1,0.25,0.10-0.25
195016,grammar,A2,"There are two new students in my class, ____ boy and ____ girl.",,,You don't need a word in the spaces.,the / the,a / a,,C,0.7,0.85,0.70-0.85
195017,reading,A1,What should you bring to the club?,,"Photography Club
Would you like to take great pictures?
Join our Photography Club every Friday from 6.30 to 8.00 in the Blue Room.
Bring your own camera. We can lend you photographic equipment such as lenses and tripods.
Beginners Welcome",A phone,Your own camera,Your homework,,B,0.85,0.95,0.85-0.95
195018,reading,A1,When will the play Puss in Boots be performed?,,"Lockwood Amateur Dramatic Society

This winter we will be performing ‘Puss in Boots’.
If you’d like to be on the stage, please come to our auditions on Saturday 8th September. Children: 10-12 am; Adults 2-5pm in the main hall.
No acting experience necessary!
Rehearsals will be on Friday nights 7-9pm in the main hall (7-8pm for children) and Wednesdays 7-9pm in the Blue Room.
Dress rehearsal: 3rd December
Performances: 5-7th December'",On 8th September,From 5th to 7th December,Every Friday night,,B,0.85,0.95,0.85-0.95
195019,reading,B1,The article advises readers who want a professional career to...,,"Northacre Council Department of Education

Sixteen - What now?
You’re 16 and finally you can leave school!  By now, you’re probably sick of teachers, desks, tests and exams.  But don’t just run for the exit. You need to think carefully about what to do next.
If you want a professional career, you will need to go to university and get a degree. To do that, you need to stay at high school for another two years.  But you needn’t stay at the same place. There are several options in the district of Northacre.
St. Leopold’s School has the best pass rate of all the high schools in the district. It offers a wide range of subjects in the humanities and sciences.  St Leopold’s is, of course, a private school, so may be too expensive for you. But don’t worry, there are several other options if you want to follow the academic route.  Knowle Grammar School is a state school, so there are no fees, and it has excellent tuition and facilities. It is a boys’ school from the ages of 11-16, but from 16-18 it is co-educational. But it is selective, so you’ll have to pass an exam to get in.  If you’re interested in going into Business, check out Wyle River Academy.  This school specialises in subjects like Business Studies, Management and Economics.  If you prefer the arts, look at the courses on offer at Northacre College.  Here you can study woodwork, art, textiles and much more.
Northacre College also offers a wide range of vocational qualifications.  You can do a 1-year certificate or a 2-year diploma in subjects like electrics, plumbing, roofing and hairdressing.  If you’d prefer to work outdoors, look at Milldown College, where there are courses in Farm Mechanics, Land Management, Animal Management and much more.
A final option is to get an apprenticeship with a local or national company.  You will get on-the-job training, gain certificates or diplomas and start earning straight away.  But be warned - places are limited!  Find out more at the Jobs Fair on 26th May at Northacre College.",go to university immediately.,stay at the same school for two more years.,"go to high school for two more years, then get a degree.",,C,0.55,0.7,0.55-0.70
195020,grammar,B2,By Christmas Dominic will ____ as project manager for five years.,,,be working,have been working,have worked,,A,0.4,0.55,0.40-0.55
195021,grammar,C2,"By the time you're my age, you _______ your mind.",,,will probably have changed,would probably change,will probably change,are probably changing,A,0.1,0.25,0.10-0.25
195022,grammar,A2,Which sentence is NOT correct?',,,Climate change is a serious issue.,Pollution is a serious issue.,Environment is a serious issue.,,C,0.7,0.85,0.70-0.85
195023,grammar,A1,Which question is NOT correct?,,,Where is your house?,You are a manager?,How old are you?,,B,0.85,0.95,0.85-0.95
195024,grammar,B1,Our house is ____ as big as Robert’s house.,,,slightly,exactly,just,,C,0.55,0.7,0.55-0.70
195025,grammar,A1,____ is a good book shop near my house.,,,This,There,Here,,B,0.85,0.95,0.85-0.95
195026,reading,A2,The Weather Office provides a detailed forecast for ___ days.,,"Mountain Area forecast
Mountains can be dangerous places. The weather can change from one hour to the next, and from one peak to the next. Always check the weather forecast before you go out.  

Brecon Beacons National Park
Tuesday 4 April
There will be mist and fog in the valleys early on, but this will lift in the morning. It will be a dry day with some sunny spells, especially in the north, where it will feel warm. It will remain cloudy in the south and west. Cloud will get thicker in the afternoon, and there will be a chance of rain in the west in the late afternoon.

Visibility
Generally good, but poor in hill fog.  May turn poor in the west in the late afternoon.

Hill fog
Some hill fog above 300 metres at first. This will lift, but will remain at 600 metres in the morning, and around the peaks in the afternoon and evening.

Wed 5 April
Weather
A much windier day, and it will feel cold high up, where temperatures will be low. A bright start, with some sunshine and showers, but showers will increase in the afternoon, and there may be some hail and thunder. Snow showers possible above 800m.

Visibility
Generally good, but moderate in showers.

Hill fog
None expected.

Outlook
Thu 6 April
Very windy with gales possible in the north and north east. Cloudy with rain or drizzle and hill fog. Some bright spells later, but showers continuing through the afternoon.

Fri 7 April
Overcast at first with areas of hill fog, and also occasional light rain or drizzle. It will gradually become drier and warmer, but will remain cloudy. Light southeasterly breezes.

Sat 8 April
A bright day, with the best of the sunshine in the east. It will probably turn cloudier with a gentle southeasterly breeze, but should remain warm and dry.",2,3,5,,A,0.7,0.85,0.70-0.85
195027,grammar,A2,We saw ___ film yesterday. ___ film was about an explorer.,,,the / A,a / A,a / The,,C,0.7,0.85,0.70-0.85
195028,reading,C2,This article is clearly written for an audience of...,,"You are going to read four extracts which are all concerned in some way with the human mind. For each question, choose the answer which you think fits best according to the text.
With Age comes Wisdom

Ah, the wisdom of age! It's comforting to know, as you reach for another cup of tea and a digestive, that even though you are not jogging lithely up and down the streets like those lithe bodies out there, at least your mind has been honed by your life experiences into a pearl of insight and erudition, ready to be tapped for knowledge.

But I would think that, wouldn't I? But thankfully, I'm not alone in my view, and nor is it just my generation that agrees with me. There are in fact a small but growing number of young researchers who are helping us to prove our case. Recently, some American psychologists set about to find out whether there is a relationship between wisdom and age by studying how people of various ages reasoned in questions of social conflict.

Subjects were invited to comment on stories featuring disputes between individuals or social groups, including matters of ethnic tension and immigration. Evaluators listened to their responses and scored them according to a set of wisdom criteria“ such factors included preference for compromise, acknowledgement of other's points of view and ways to manage uncertainty “ (pinpointing exactly what wisdom is is a decidedly tricky business, it would appear).  The findings were clear, (as of course you would know already, wouldn't you, being so wise?). The older participants scored more highly than the younger ones. QED.

Of course there's always someone who wants it to rain on the parade. Another American theorised more recently that older brains are slower, and thus more risk-averse and less impulsive. Clearly this is balderdash, but he'll learn, when he's older.",students,elderly people,psychology researchers,Americans,B,0.1,0.25,0.10-0.25
195029,reading,B1,St Leopold’s is the best school for…,,"Northacre Council Department of Education

Sixteen - What now?
You’re 16 and finally you can leave school!  By now, you’re probably sick of teachers, desks, tests and exams.  But don’t just run for the exit. You need to think carefully about what to do next.
If you want a professional career, you will need to go to university and get a degree. To do that, you need to stay at high school for another two years.  But you needn’t stay at the same place. There are several options in the district of Northacre.
St. Leopold’s School has the best pass rate of all the high schools in the district. It offers a wide range of subjects in the humanities and sciences.  St Leopold’s is, of course, a private school, so may be too expensive for you. But don’t worry, there are several other options if you want to follow the academic route.  Knowle Grammar School is a state school, so there are no fees, and it has excellent tuition and facilities. It is a boys’ school from the ages of 11-16, but from 16-18 it is co-educational. But it is selective, so you’ll have to pass an exam to get in.  If you’re interested in going into Business, check out Wyle River Academy.  This school specialises in subjects like Business Studies, Management and Economics.  If you prefer the arts, look at the courses on offer at Northacre College.  Here you can study woodwork, art, textiles and much more.
Northacre College also offers a wide range of vocational qualifications.  You can do a 1-year certificate or a 2-year diploma in subjects like electrics, plumbing, roofing and hairdressing.  If you’d prefer to work outdoors, look at Milldown College, where there are courses in Farm Mechanics, Land Management, Animal Management and much more.
A final option is to get an apprenticeship with a local or national company.  You will get on-the-job training, gain certificates or diplomas and start earning straight away.  But be warned - places are limited!  Find out more at the Jobs Fair on 26th May at Northacre College.",good exam results.,humanities and sciences.,facilities.,,A,0.55,0.7,0.55-0.70
195030,reading,A1,What can members of the sewing circle help you with?,,"Handicraft Circle

The sewing circle meets in the Blue Room on Mondays and Thursdays from 10am to 12pm.
Bring along your needlework projects.  Our friendly group can give you tuition and advice on sewing or knitting.",Painting and drawing techniques,Sewing and knitting advice,Pottery and sculpture projects,,B,0.85,0.95,0.85-0.95
195031,grammar,B2,What do you think those men were doing in Charles’s garden yesterday?,,,I expect they’ll have been doing some gardening.,I expect they’ll be doing some gardening.,I expect they’ll do some gardening.,,A,0.4,0.55,0.40-0.55
195032,reading,A1,What can members of the sewing circle help you with?,,"Calling all Gentlemen!
The Lockwood Male Voice Choir rehearses in the main hall on Mondays from 7.30-9.30 pm.
If you love to sing, are over the age of 16 and have an ear for music, please call Ben Freeman for information.",Monday mornings,Monday evenings,Saturday afternoons,,B,0.85,0.95,0.85-0.95
195033,grammar,B1,Do ____ of you have any money I can borrow?,,,both,either,neither,,B,0.55,0.7,0.55-0.70
195034,grammar,A2,Which sentence is NOT correct?,,,People are increasingly worried about economy.,People are increasingly worried about crime.,People are increasingly worried about health.,,A,0.7,0.85,0.70-0.85
195035,reading,C1,What aspect of Iford Manor is emphasized in the first paragraph?,,"Extract from a brochure

Iford Manor Festival Season

Iford Manor has been described as one of the most stunning concert venues in the West Country.  Throughout high summer, Iford Arts stages an internationally renowned festival in a breathtakingly beautiful pastoral setting. Operatic performances are staged in-the-round in the intimate surroundings of the Italianate Cloister, which could not be more perfect in terms of scale and style. While the classical backdrop could hardly be more fitting, the real delight for our audiences is that, as the sky turns purple overhead, the first stars appear and the first heady notes resound across the countryside, no-one is seated less than twenty feet from the performers. The opportunity for a relaxing pre-show picnic in our tranquil gardens overlooking the meandering River Frome will complete an already magical experience.

Iford Arts, a registered charity promoting the appreciation of performing arts in the west of England, aims to benefit the local community by engaging young professional artists and stimulating young people's enjoyment of being involved in live performances.  We hope to support young musicians in their career development by encouraging them to develop repertoire and perform to a supportive audience and providing the exquisite environment in which to do so. Iford Arts does not receive any public subsidies, relying on vital private contributions. We offer various levels of private patronage and corporate sponsorship, each providing a range of privileges such as priority booking.",the Italian-style architecture,the countryside location,the seating arrangements,the quality of the music,C,0.25,0.4,0.25-0.40
195036,grammar,C2,Thank you very much — I haven't been to _______ party for ages.,,,the so enjoyable,such enjoyable,a so enjoyable,such an enjoyable,D,0.1,0.25,0.10-0.25
195037,reading,A1,How often does the Gardening Club meet?,,"Gardening Club
The Gardening Club meets on the first Tuesday of each month at 7.00 in the Blue Room.
Swap seeds and tips and meet green-fingered friends
October's guest lecturer: Jill Thorn will speak on Creating a Wildlife Garden.",Every Tuesday,Once a month,Every weekend,,B,0.85,0.95,0.85-0.95
195038,reading,A1,Where are the Wednesday rehearsals?,,"Lockwood Amateur Dramatic Society

This winter we will be performing ‘Puss in Boots’.
If you’d like to be on the stage, please come to our auditions on Saturday 8th September. Children: 10-12 am; Adults 2-5pm in the main hall.
No acting experience necessary!
Rehearsals will be on Friday nights 7-9pm in the main hall (7-8pm for children) and Wednesdays 7-9pm in the Blue Room.
Dress rehearsal: 3rd December
Performances: 5-7th December",In the main hall,In the Blue Room,At the school theatre,,B,0.85,0.95,0.85-0.95
195039,grammar,C1,…will contain a mix of local content ___ primarily by Beijing-based staff.,,,writing,written,wrote,writes,B,0.25,0.4,0.25-0.40
195040,reading,A2,choose the correct answer.,,"Has anyone seen a silver necklace with a pink butterfly?
Last seen in this classroom last Friday.
If you see it, please tell Rebecca Charles in Class 7b.",Rebecca has lost some jewellery.,Rebecca is selling a necklace.,Rebecca found something in a classroom.,,A,0.7,0.85,0.70-0.85
195041,grammar,A1,Which question is correct?,,,How many rooms are in your house?,How many rooms are there in your house?,How many rooms there are in your house?,,B,0.85,0.95,0.85-0.95
195042,reading,A1,Who can join the Messy Fingers Club?,,"Messy Fingers Club!
Mondays, Wednesdays and Fridays from 4.00-5.30pm
Your kids can get messy with painting, printing and modelling.
Suitable for children aged 6-11. Meet in the main hall.
Just bring an old shirt that you don’t mind getting messy!",Children aged 6โ€“11,Teenagers over 12,Adults who like painting,,A,0.85,0.95,0.85-0.95
195043,reading,C2,One difficulty in measuring the relationship between wisdom and age mentioned in the passage was...,,"You are going to read four extracts which are all concerned in some way with the human mind. For each question, choose the answer which you think fits best according to the text.
With Age comes Wisdom

Ah, the wisdom of age! It's comforting to know, as you reach for another cup of tea and a digestive, that even though you are not jogging lithely up and down the streets like those lithe bodies out there, at least your mind has been honed by your life experiences into a pearl of insight and erudition, ready to be tapped for knowledge.

But I would think that, wouldn't I? But thankfully, I'm not alone in my view, and nor is it just my generation that agrees with me. There are in fact a small but growing number of young researchers who are helping us to prove our case. Recently, some American psychologists set about to find out whether there is a relationship between wisdom and age by studying how people of various ages reasoned in questions of social conflict.

Subjects were invited to comment on stories featuring disputes between individuals or social groups, including matters of ethnic tension and immigration. Evaluators listened to their responses and scored them according to a set of'wisdom criteria“ such factors included preference for compromise, acknowledgement of other's points of view and ways to manage uncertainty “ (pinpointing exactly what wisdom is is a decidedly tricky business, it would appear).  The findings were clear, (as of course you would know already, wouldn't you, being so wise?). The older participants scored more highly than the younger ones. QED.

Of course there's always someone who wants it to rain on the parade. Another American theorised more recently that older brains are slower, and thus more risk-averse and less impulsive. Clearly this is balderdash, but he'll learn, when he's older.",deciding how the responses should be scored.,ensuring there was a diverse range of participants.,deciding how wisdom can be measured.,defining the term โ€wisdomโ€.,D,0.1,0.25,0.10-0.25
195044,grammar,C2,No offence intended _______ I think you haven't understood the problem correctly.,,,when,if,as,but,D,0.1,0.25,0.10-0.25
195045,reading,A2,Choose the correct answer.,,"Family hair cuts
Pay for two adult haircuts and get up to 2 children's haircuts free!

Offer Monday to Friday 4-6pm only",Two adults and two children must pay full price for haircuts on Saturdays.,A single mother won't have to pay for her child's haircut on Monday at 5pm.,"If two parents get haircuts on Friday morning, their two children can get free haircuts.",,A,0.7,0.85,0.70-0.85
195046,grammar,C1,…will focus on China's emerging youth culture as well ___ foreign arts and entertainment.,,,with,as,than,from,B,0.25,0.4,0.25-0.40
195047,reading,A2,Which day will be driest?,,"Mountain Area forecast
Mountains can be dangerous places. The weather can change from one hour to the next, and from one peak to the next. Always check the weather forecast before you go out.  

Brecon Beacons National Park
Tuesday 4 April
There will be mist and fog in the valleys early on, but this will lift in the morning. It will be a dry day with some sunny spells, especially in the north, where it will feel warm. It will remain cloudy in the south and west. Cloud will get thicker in the afternoon, and there will be a chance of rain in the west in the late afternoon.

Visibility
Generally good, but poor in hill fog.  May turn poor in the west in the late afternoon.

Hill fog
Some hill fog above 300 metres at first. This will lift, but will remain at 600 metres in the morning, and around the peaks in the afternoon and evening.

Wed 5 April
Weather
A much windier day, and it will feel cold high up, where temperatures will be low. A bright start, with some sunshine and showers, but showers will increase in the afternoon, and there may be some hail and thunder. Snow showers possible above 800m.

Visibility
Generally good, but moderate in showers.

Hill fog
None expected.

Outlook
Thu 6 April
Very windy with gales possible in the north and north east. Cloudy with rain or drizzle and hill fog. Some bright spells later, but showers continuing through the afternoon.

Fri 7 April
Overcast at first with areas of hill fog, and also occasional light rain or drizzle. It will gradually become drier and warmer, but will remain cloudy. Light southeasterly breezes.

Sat 8 April
A bright day, with the best of the sunshine in the east. It will probably turn cloudier with a gentle southeasterly breeze, but should remain warm and dry.",4th April,5th April,6th April,,A,0.7,0.85,0.70-0.85
195048,grammar,A2,That's ___ last gas station for twenty miles.,,,You do not need a word here.,an,the,,C,0.7,0.85,0.70-0.85
195049,grammar,A1,You ____ very hungry!,,,are,is,am,,A,0.85,0.95,0.85-0.95
195050,grammar,B2,I bet the shop ____ of ice cream by the time we get there.,,,will be sell out,will sold out,will have sold out,,C,0.4,0.55,0.40-0.55
195051,reading,A2,Last year the friends had problems with...,,"Hi Ellie,
I’m so pleased you can come surfing in August! Paul, Rose and Kevin are coming too, so there will be five of us.  We’ve decided to return to New Sands, because the surf board hire is so cheap there. 
I’m starting to think about accommodation. We won’t camp again after last year! I hated staying in a tent in all that rain!
Kevin wants to hire a caravan. There are some nice ones with 3 bedrooms, showers and cooking facilities. The problem is, none of the caravan parks take short bookings in the summer. The minimum stay is a week. It’s a shame because there are several nice parks near the beach.
There’s a youth hostel in New Sands. It’s the cheapest option after camping, and there’s a big kitchen and dining room where we can cook. The problem is, accommodation is in dormitories and I don’t really want to sleep with strangers. 
There are a few guest houses in New Sands. Some have triple rooms, so we’d only need to book two rooms. They’re not expensive, but we wouldn’t be able to cook there. We’d have to eat out at restaurants, or eat sandwiches for every meal!  We’ll have to book soon if we choose that option, because many guest houses are already full. The hotels in New Sands are far too expensive, even though I’d love to stay at the Sunrise Pavilion with its rooftop pool!
The final option is to rent a cottage. Few cottages offer mid-week breaks in summer, but I found one. It has three bedrooms - a double, a single and a twin, so two of us would have to share a bed!  There’s a big kitchen diner with a microwave, washing machine and dishwasher. The living room has a TV and DVD player. There’s just one bathroom, but there’s a separate WC.  There’s a nice garden too. The problem is, it’s 5 miles from the beach, so we’d have to hire a car, because there aren’t any buses.
Let me know which option you prefer.
Cheers",the weather.,the transport.,their surf boards.,,A,0.7,0.85,0.70-0.85
